iter	Passed	Remaining
0	0	72
1	1	66
2	2	66
3	2	60
4	3	59
5	3	58
6	4	57
7	4	56
8	5	54
9	5	53
10	6	52
11	7	51
12	7	50
13	8	49
14	8	48
15	8	46
16	9	45
17	9	44
18	10	44
19	10	43
20	11	42
21	11	41
22	12	41
23	12	40
24	13	40
25	13	39
26	14	38
27	14	37
28	15	37
29	15	36
30	16	35
31	16	35
32	17	35
33	17	34
34	18	33
35	18	33
36	19	32
37	19	31
38	19	31
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	22	27
45	22	26
46	23	26
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	15
69	33	14
70	34	14
71	34	13
72	35	13
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	40	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
