iter	Passed	Remaining
0	162	161879
1	162	81185
2	163	54329
3	164	40966
4	165	32909
5	166	27501
6	166	23645
7	167	20743
8	167	18493
9	168	16685
10	169	15209
11	169	13991
12	170	12941
13	171	12048
14	171	11263
15	172	10580
16	172	9978
17	173	9452
18	174	8988
19	174	8569
20	175	8189
21	176	7838
22	176	7516
23	177	7218
24	178	6942
25	178	6686
26	178	6449
27	179	6231
28	180	6038
29	180	5850
30	181	5672
31	182	5505
32	182	5350
33	183	5202
34	183	5062
35	184	4934
36	184	4809
37	185	4692
38	185	4581
39	186	4475
40	186	4372
41	187	4276
42	188	4188
43	188	4101
44	189	4017
45	189	3935
46	190	3856
47	190	3782
48	191	3714
49	191	3645
50	192	3579
51	192	3515
52	193	3453
53	193	3394
54	194	3339
55	194	3284
56	195	3231
57	195	3180
58	196	3131
59	196	3084
60	197	3038
61	197	2993
62	198	2949
63	199	2910
64	199	2871
65	200	2832
66	200	2795
67	201	2758
68	201	2722
69	202	2695
70	203	2661
71	203	2629
72	204	2599
73	205	2568
74	205	2540
75	206	2510
76	207	2482
77	207	2452
78	208	2425
79	208	2397
80	208	2370
81	209	2344
82	209	2316
83	210	2291
84	210	2267
85	211	2243
86	211	2220
87	212	2198
88	212	2176
89	213	2154
90	213	2134
91	214	2117
92	215	2097
93	215	2077
94	215	2057
95	216	2038
96	217	2020
97	217	2001
98	217	1983
99	218	1966
100	219	1950
101	219	1933
102	220	1918
103	220	1902
104	221	1886
105	221	1870
106	222	1855
107	222	1840
108	223	1825
109	224	1813
110	224	1798
111	225	1784
112	225	1770
113	226	1762
114	227	1748
115	227	1735
116	228	1721
117	228	1709
118	229	1699
119	230	1687
120	230	1674
121	230	1661
122	231	1650
123	232	1639
124	232	1627
125	233	1616
126	233	1605
127	234	1594
128	234	1586
129	235	1576
130	236	1566
131	236	1557
132	237	1547
133	237	1537
134	238	1527
135	238	1517
136	239	1507
137	239	1498
138	240	1488
139	240	1479
140	241	1470
141	241	1460
142	242	1451
143	242	1442
144	243	1433
145	243	1426
146	244	1419
147	245	1411
148	245	1403
149	246	1394
150	246	1386
151	247	1379
152	247	1371
153	248	1363
154	248	1356
155	249	1348
156	249	1342
157	250	1335
158	251	1328
159	251	1321
160	252	1313
161	252	1306
162	253	1299
163	253	1293
164	254	1286
165	254	1280
166	255	1273
167	255	1266
168	256	1260
169	256	1253
170	257	1247
171	257	1241
172	258	1236
173	259	1231
174	260	1225
175	260	1219
176	261	1214
177	261	1208
178	262	1202
179	263	1200
180	264	1195
181	264	1189
182	265	1184
183	265	1179
184	266	1173
185	266	1168
186	267	1162
187	267	1156
188	268	1151
189	268	1146
190	269	1141
191	269	1136
192	270	1131
193	271	1126
194	271	1121
195	272	1116
196	272	1111
197	273	1106
198	274	1102
199	274	1098
200	275	1094
201	275	1090
202	276	1085
203	277	1081
204	277	1076
205	278	1072
206	278	1068
207	279	1064
208	280	1060
209	280	1056
210	281	1052
211	282	1048
212	282	1044
213	283	1039
214	283	1035
215	284	1031
216	284	1027
217	285	1023
218	285	1018
219	286	1014
220	286	1010
221	287	1006
222	287	1002
223	288	1000
224	289	997
225	290	994
226	290	990
227	291	986
228	292	983
229	292	979
230	293	975
231	293	972
232	294	968
233	295	966
234	295	962
235	296	959
236	297	956
237	297	953
238	298	949
239	299	948
240	299	944
241	300	941
242	301	937
243	302	936
244	302	933
245	303	930
246	304	927
247	304	924
248	305	920
249	305	917
250	306	914
251	306	910
252	307	907
253	307	904
254	308	901
255	309	898
256	309	895
257	310	892
258	311	890
259	311	887
260	312	884
261	312	881
262	313	878
263	313	875
264	314	872
265	315	869
266	315	866
267	316	863
268	316	860
269	317	858
270	317	855
271	318	852
272	319	850
273	320	848
274	320	845
275	321	842
276	321	839
277	322	836
278	322	834
279	323	831
280	323	828
281	324	826
282	325	824
283	325	821
284	326	818
285	326	815
286	327	813
287	327	810
288	328	808
289	329	805
290	329	802
291	330	800
292	330	798
293	331	795
294	331	793
295	332	790
296	333	788
297	333	786
298	334	784
299	335	782
300	335	779
301	336	777
302	336	775
303	337	772
304	337	770
305	338	767
306	339	765
307	339	763
308	340	761
309	341	759
310	341	756
311	342	754
312	342	752
313	343	750
314	343	747
315	344	745
316	344	743
317	345	740
318	345	738
319	346	736
320	347	734
321	347	731
322	348	729
323	348	727
324	349	726
325	350	724
